,buy_mean,buy_pc01,buy_pc02,buy_pc03,buy_pc04,buy_pc05,buy_pc06,sell_mean,sell_pc01,sell_pc02,sell_pc03,sell_pc04,sell_pc05,sell_pc06
wkRSI[1][4],-5.87187515944857e-15,-0.017017539750704403,-0.18493922382235445,-0.08367736324268582,-0.17418698359116191,0.014693263510194744,0.13114086867765892,-5.555518273931661e-16,-0.048546909779390204,0.17579604035631236,0.10802953339856891,-0.1728075956104771,0.04917741287503128,-0.06213943076612172
wkBB[1][4],9.66838209362717e-16,0.10219713587204321,-0.010164746849740235,-0.12306869767017767,-0.07046644814816425,-0.09214182242005962,-0.062304141399665176,3.703678849287774e-16,0.09330027107202057,0.09318174825381699,-0.0568183969099737,-0.042055305302544706,-0.14786614864908115,0.07265876839901493
wkATR[1][4],-3.167228616877866e-15,0.12249399471510289,0.02205746067079134,-0.12740828030079293,-0.03399971199617631,-0.08358061212354617,-0.13591158954936922,3.542649334101349e-15,0.11489061649506023,0.09556067889085766,-0.08474100163244903,-0.002815593393364405,-0.16614422419941566,-0.03149356480659905
wkSMA[2][0],1.666962429935719e-16,-0.12206481865768432,-0.004725524468948233,-0.14409293145545257,0.1209169494722588,-0.07794499267584412,0.06972150417354292,1.5941922003456072e-15,-0.11811479193773247,-0.02068692024132631,-0.14340970784209986,-0.12998626092488516,-0.017670552248836575,0.08519123026178753
wkRSI[2][0],1.7586453635821835e-14,0.05274210455392408,-0.04716460196787934,0.22484101302010137,-0.112772670271346,-0.1730397670830917,-0.042597469330245274,3.850618281895387e-15,-0.03707177095979533,0.049713719639166834,-0.24513321695765505,-0.059103974880502286,0.20297425445654108,-0.0636962679293343
wkBB[2][0],2.467104396304864e-15,0.12552099956294951,0.007625447426829301,0.09053957028209512,-0.06364242542397136,0.09596381426338804,0.027274135694435306,-1.3365449760473273e-15,0.11682212168612552,0.022656818731199818,0.10550643088078845,0.09280038155135349,0.056131061002678305,-0.06109069631912458
wkATR[2][0],6.667849719742876e-15,0.13379601423475243,0.030563708926968747,-0.013041972828115388,-0.017749632319203547,0.18026965074559476,0.004756082966908969,5.61187860424691e-15,0.12917477747261044,0.059197282609649515,0.0007419468540824129,0.06026828699330331,0.1374634899946799,-0.11300447566427056
wkSMA[2][1],-2.483774020604221e-15,-0.13471871605263647,0.0033984759382748165,-0.1241080327679984,0.059594512600308486,-0.029355289264813584,-0.04290949810669552,2.1255896004608095e-15,-0.13073978001751513,-0.00850139182225529,-0.12854820288649071,-0.05509450565792311,-0.0287453310253087,-0.019805387450604256
wkRSI[2][1],6.609506034695125e-15,0.05873978880955,-0.11201966887744606,0.18757642035187785,0.06347421482987903,-0.18839170812583303,0.03821397992257358,2.523131216077296e-14,-0.056293844013058356,0.10631592862186412,-0.206692188075517,0.09869235191054099,0.11492303654726972,-0.09411678292380517
wkBB[2][1],-2.0003549159228627e-16,0.13054103501751313,0.0036670543415637494,0.04971043053107012,0.019589816463088057,0.03050581377382679,0.15018742303940827,2.2383102610913072e-15,0.12351449270795926,0.01022688748622675,0.05571918104735147,-0.02116261533387949,0.10740866316832123,0.08167301829744292
wkATR[2][1],3.600638848661153e-15,0.1423029080320147,0.03503880361725672,-0.051235871471424194,0.01688605767700282,0.09913534537091556,0.04993779757904983,2.0933836974235245e-15,0.1361359587843384,0.05397080464125583,-0.04296492218914624,0.000606562296631015,0.12444763574363621,-0.022108887862592175
wkSMA[2][2],-1.5669446841395757e-15,-0.1264272761288405,0.06662203488036596,-0.029108820024339968,-0.14472933374671165,0.05921831947523049,-0.06605418392214428,9.500741395999074e-16,-0.12530423873037924,0.05380913952956851,-0.02233696413882356,0.15484831415116362,-0.046368840971404604,-0.08231172715483155
wkRSI[2][2],-1.1460366705808067e-15,0.022548588301901398,-0.21023482928484763,0.01607571516849652,0.14134063514970827,0.0136307059972234,-0.10978696349288207,-1.3466093207464789e-15,-0.060116688599081945,0.20096669421241878,-0.0021267608826019383,0.14240477116411637,0.00570329322578311,0.10205401985081197
wkBB[2][2],7.334634691717163e-16,0.11571895711078248,-0.015194564117474838,-0.060425642146257605,0.10986872862582664,-0.029565056684592597,0.14718169600592415,-1.4331626851591822e-15,0.11002344276088298,0.009444704427150764,-0.05939848207729664,-0.10426317069875186,0.07885001246949784,0.1243908022271998
wkATR[2][2],-2.1503815346170772e-15,0.13733222530688116,0.0450940655379782,-0.09293790901301673,0.021693179730319728,0.008804595240359115,0.04264270770221374,7.729416728948399e-16,0.1349598421771193,0.055056430944132796,-0.08014595292338642,-0.012089227109314774,0.028470730040625756,0.022948275712480662
wkSMA[2][3],-6.751197841239662e-16,-0.032976219146336694,0.19477993323932552,0.040782130431308176,-0.07890839349367872,-0.0880133039203939,0.14352704056770826,-1.0466918487117624e-16,-0.08451232363393459,0.16414512834900002,0.07024474759498286,0.07306566681983352,-0.00699684565270291,0.12473256351368556
wkRSI[2][3],-4.7258384888677635e-15,-0.005446198082057002,-0.21817668013328842,-0.06226228456532261,-0.05678735837964908,0.08985689406288136,-0.021139357666094354,6.358652980923956e-15,-0.05633124851175059,0.2038546912170672,0.09253785302769958,-0.06198359661571251,0.023282811486357864,0.07310754951316457
wkBB[2][3],2.033694164521577e-15,0.10465290158530162,0.015371418234280208,-0.10212357003382819,-0.006025459099152168,-0.05957853624672015,-0.04163102142201138,6.280151092270574e-16,0.0928118278155807,0.0720091042655538,-0.08098209833463176,-0.0070965642351379634,-0.0842406310461793,0.13723655737196963
wkATR[2][3],-3.08388049538108e-15,0.1308601436803712,0.04364619688228202,-0.11431355362141062,0.010746260902980016,-0.04305032149446383,-0.07850214167077234,4.0257378796606243e-16,0.12408055459852724,0.08276082152217819,-0.09365538066363302,0.019399890334036184,-0.10281381288929486,0.011215796252540843
wkSMA[2][4],-2.1253770981680415e-16,0.020142670589490166,0.18006576654895987,0.06711237760342102,0.15523612628470426,-0.062117809323651234,-0.13379392368492535,-1.6908099094574623e-16,-0.06400534095864442,0.14371045429598825,0.11907261957875229,-0.1651627091350689,0.0872830551376642,-0.03287130538037594
